"Player";"Short Name";"Player ID";"Birthdate";"Team";"Team ID";"Match";"Match ID";"Date";"Competition";"Competition ID";"Season";"Season ID";"Competition Edition ID";"Position";"Position Group";"Minutes";"Physical Check Passed";"Distance";"M/min";"Running Distance";"HSR Distance";"HSR Count";"Sprint Distance";"Sprint Count";"HI Distance";"HI Count";"PSV-99";"Medium Acceleration Count";"High Acceleration Count";"Medium Deceleration Count";"High Deceleration Count";"Explosive Acceleration to HSR Count";"Time to HSR";"Time to HSR post-COD";"Explosive Acceleration to Sprint Count";"Time to Sprint";"Time to Sprint post-COD";"Change of Direction Count";"Time to 505 around 90";"Time to 505 around 180";"Distance P90";"M/min P90";"Running Distance P90";"HSR Distance P90";"HSR Count P90";"Sprint Distance P90";"Sprint Count P90";"HI Distance P90";"HI Count P90";"Medium Acceleration Count P90";"High Acceleration Count P90";"Medium Deceleration Count P90";"High Deceleration Count P90";"Explosive Acceleration to HSR Count P90";"Explosive Acceleration to Sprint Count P90";"Change of Direction Count P90"
"Isaac Romero Bernal";"Isaac Romero";"69307";"2000-05-18";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"CF";"Center Forward";"95.78";"True";"12065.0";"125.96";"1663.0";"611.0";"75.0";"394.0";"17.0";"1005.0";"92.0";"32.9";"111.0";"7.0";"95.0";"18.0";"6.0";"0.7";"1.05";"3.0";"1.3";"null";"58.0";"2.18";"3.15";"11336.52";"125.96";"1562.59";"574.11";"70.47";"370.21";"15.97";"944.32";"86.45";"104.3";"6.58";"89.26";"16.91";"5.64";"2.82";"54.5"
"Isaac Romero Bernal";"Isaac Romero";"69307";"2000-05-18";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"CF";"Center Forward";"76.47";"True";"9350.0";"122.28";"1138.0";"558.0";"61.0";"248.0";"15.0";"806.0";"76.0";"31.6";"88.0";"9.0";"75.0";"20.0";"7.0";"0.74";"0.89";"5.0";"1.36";"1.93";"32.0";"2.7";"2.8";"11004.8";"122.28";"1339.41";"656.76";"71.8";"291.89";"17.65";"948.65";"89.45";"103.57";"10.59";"88.27";"23.54";"8.24";"5.88";"37.66"
"Isaac Romero Bernal";"Isaac Romero";"69307";"2000-05-18";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"CF";"Center Forward";"100.5";"True";"11690.0";"116.32";"1563.0";"444.0";"59.0";"283.0";"15.0";"727.0";"74.0";"29.9";"106.0";"7.0";"87.0";"14.0";"7.0";"0.64";"0.64";"3.0";"1.62";"null";"36.0";"1.98";"3.2";"10468.66";"116.32";"1399.7";"397.61";"52.84";"253.43";"13.43";"651.04";"66.27";"94.93";"6.27";"77.91";"12.54";"6.27";"2.69";"32.24"
"Juan Luis Sánchez Velasco";"Juanlu Sánchez";"69308";"2003-08-15";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"CF";"Center Forward";"103.15";"True";"12593.0";"122.08";"2128.0";"682.0";"62.0";"117.0";"8.0";"799.0";"70.0";"28.2";"126.0";"5.0";"95.0";"24.0";"4.0";"0.77";"0.9";"3.0";"1.46";"1.61";"59.0";"2.1";"3.17";"10987.59";"122.08";"1856.71";"595.06";"54.1";"102.08";"6.98";"697.14";"61.08";"109.94";"4.36";"82.89";"20.94";"3.49";"2.62";"51.48"
"Juan Luis Sánchez Velasco";"Juanlu Sánchez";"69308";"2003-08-15";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"CF";"Center Forward";"76.47";"True";"9881.0";"129.22";"1518.0";"538.0";"46.0";"140.0";"7.0";"678.0";"53.0";"29.9";"96.0";"5.0";"80.0";"16.0";"5.0";"0.74";"null";"5.0";"1.49";"null";"35.0";"1.86";"null";"11629.77";"129.22";"1786.66";"633.22";"54.14";"164.78";"8.24";"797.99";"62.38";"112.99";"5.88";"94.16";"18.83";"5.88";"5.88";"41.19"
"Juan Luis Sánchez Velasco";"Juanlu Sánchez";"69308";"2003-08-15";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RB";"Full Back";"100.5";"True";"10284.0";"102.33";"948.0";"478.0";"50.0";"229.0";"10.0";"707.0";"60.0";"29.0";"93.0";"11.0";"79.0";"21.0";"8.0";"0.71";"0.99";"3.0";"1.38";"null";"43.0";"1.75";"2.82";"9209.55";"102.33";"848.96";"428.06";"44.78";"205.07";"8.96";"633.13";"53.73";"83.28";"9.85";"70.75";"18.81";"7.16";"2.69";"38.51"
"Juan Luis Sánchez Velasco";"Juanlu Sánchez";"69308";"2003-08-15";"Sevilla FC";"266";"Sevilla FC v Real Madrid CF";"2017683";"2025-05-18";"ESP - LaLiga";"4";"2024/2025";"95";"900";"RB";"Full Back";"83.38";"True";"8764.0";"105.1";"1083.0";"667.0";"66.0";"274.0";"18.0";"941.0";"84.0";"29.7";"94.0";"12.0";"73.0";"29.0";"12.0";"0.66";"0.66";"6.0";"1.21";"1.21";"30.0";"2.87";"2.87";"9459.44";"105.1";"1168.94";"719.93";"71.24";"295.74";"19.43";"1015.67";"90.67";"101.46";"12.95";"78.79";"31.3";"12.95";"6.48";"32.38"
"Enrique Jesús Salas Valiente";"Kike Salas";"69391";"2002-04-23";"Sevilla FC";"266";"Atlético Madrid v Sevilla FC";"1902526";"2024-12-08";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LB";"Full Back";"103.15";"True";"11130.0";"107.9";"1609.0";"666.0";"70.0";"247.0";"16.0";"913.0";"86.0";"29.9";"157.0";"14.0";"134.0";"24.0";"11.0";"0.75";"0.81";"5.0";"1.38";"1.7";"52.0";"2.03";"2.84";"9711.1";"107.9";"1403.88";"581.1";"61.08";"215.51";"13.96";"796.61";"75.04";"136.98";"12.22";"116.92";"20.94";"9.6";"4.36";"45.37"
"Enrique Jesús Salas Valiente";"Kike Salas";"69391";"2002-04-23";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LB";"Full Back";"88.6";"True";"10142.0";"114.47";"1557.0";"826.0";"69.0";"197.0";"12.0";"1023.0";"81.0";"29.1";"120.0";"14.0";"96.0";"29.0";"12.0";"0.63";"0.63";"3.0";"1.26";"1.26";"51.0";"2.06";"2.55";"10302.26";"114.47";"1581.6";"839.05";"70.09";"200.11";"12.19";"1039.16";"82.28";"121.9";"14.22";"97.52";"29.46";"12.19";"3.05";"51.81"
"Enrique Jesús Salas Valiente";"Kike Salas";"69391";"2002-04-23";"Sevilla FC";"266";"Sevilla FC v FC Barcelona";"2002584";"2025-02-09";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LCB";"Central Defender";"100.5";"True";"9483.0";"94.36";"861.0";"308.0";"34.0";"133.0";"7.0";"441.0";"41.0";"28.9";"110.0";"7.0";"89.0";"16.0";"6.0";"0.74";"0.93";"3.0";"1.2";"null";"29.0";"null";"3.04";"8492.24";"94.36";"771.04";"275.82";"30.45";"119.1";"6.27";"394.93";"36.72";"98.51";"6.27";"79.7";"14.33";"5.37";"2.69";"25.97"
"Enrique Jesús Salas Valiente";"Kike Salas";"69391";"2002-04-23";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LCB";"Central Defender";"103.62";"True";"11024.0";"106.39";"1562.0";"666.0";"59.0";"247.0";"10.0";"913.0";"69.0";"29.6";"140.0";"9.0";"105.0";"17.0";"8.0";"0.62";"0.62";"2.0";"1.61";"null";"43.0";"1.91";"null";"9575.29";"106.39";"1356.73";"578.48";"51.25";"214.54";"8.69";"793.02";"59.93";"121.6";"7.82";"91.2";"14.77";"6.95";"1.74";"37.35"
"Enrique Jesús Salas Valiente";"Kike Salas";"69391";"2002-04-23";"Sevilla FC";"266";"Sevilla FC v Real Madrid CF";"2017683";"2025-05-18";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LCB";"Central Defender";"97.08";"True";"8949.0";"92.18";"888.0";"372.0";"36.0";"110.0";"6.0";"482.0";"42.0";"28.3";"100.0";"6.0";"88.0";"12.0";"5.0";"0.89";"null";"1.0";"1.6";"null";"32.0";"2.16";"3.54";"8296.07";"92.18";"823.21";"344.86";"33.37";"101.97";"5.56";"446.83";"38.94";"92.7";"5.56";"81.58";"11.12";"4.64";"0.93";"29.67"
"Akor Jerome Adams";"A. Adams";"152183";"2000-01-29";"Sevilla FC";"266";"Sevilla FC v Atlético Madrid";"2010398";"2025-04-06";"ESP - LaLiga";"4";"2024/2025";"95";"900";"CF";"Center Forward";"103.62";"True";"11752.0";"113.42";"1803.0";"689.0";"68.0";"140.0";"10.0";"829.0";"78.0";"26.9";"136.0";"9.0";"104.0";"22.0";"5.0";"0.68";"0.68";"1.0";"2.41";"2.41";"45.0";"2.29";"3.31";"10207.62";"113.42";"1566.06";"598.46";"59.06";"121.6";"8.69";"720.06";"67.75";"118.13";"7.82";"90.33";"19.11";"4.34";"0.87";"39.09"
"Stanis Idumbo Muzambo";"S. Idumbo";"501966";"2005-06-29";"Sevilla FC";"266";"Real Madrid CF v Sevilla FC";"1927275";"2024-12-22";"ESP - LaLiga";"4";"2024/2025";"95";"900";"LW";"Wide Attacker";"67.73";"True";"7362.0";"108.69";"1095.0";"533.0";"49.0";"213.0";"11.0";"746.0";"60.0";"33.6";"80.0";"8.0";"73.0";"18.0";"6.0";"0.72";"0.72";"2.0";"1.37";"2.64";"44.0";"2.14";"null";"9782.19";"108.69";"1454.97";"708.22";"65.11";"283.02";"14.62";"991.24";"79.72";"106.3";"10.63";"97.0";"23.92";"7.97";"2.66";"58.46"
